time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
-11.7257,0.00231481,0.00232019,0,0.0160428,All
-11.5126,0.00462963,0.00235294,0,0.0173926,All
-11.2995,0.00462963,0.0046729,0,0.0194175,All
-11.0865,0.00462963,0.00471698,0,0.0206207,All
-10.8734,0.00462963,0.0049383,0,0.0247219,All
-10.6603,0.00925926,0.00549451,0,0.0254455,All
-10.4472,0.00925926,0.00595259,0,0.0294856,All
-10.2341,0.00925926,0.00710916,0,0.033194,All
-10.021,0.0138889,0.00941176,0,0.037037,All
-9.80793,0.0138889,0.010582,0,0.0389297,All
-9.59484,0.0138889,0.0117647,0,0.0402154,All
-9.38175,0.0138889,0.0140187,0,0.0440507,All
-9.16867,0.0138889,0.0159574,0.00233645,0.0486621,All
-8.95558,0.0138889,0.0182386,0.00235018,0.0529101,All
-8.74249,0.0162037,0.019802,0.00466745,0.0577464,All
-8.5294,0.0162037,0.0220994,0.0046729,0.0617069,All
-8.31631,0.0185185,0.0240773,0.00470036,0.0677083,All
-8.10322,0.0185185,0.0277656,0.00561957,0.0726348,All
-7.89014,0.0185185,0.0297324,0.00700935,0.0767268,All
-7.67705,0.0208333,0.032967,0.00705054,0.0824201,All
-7.46396,0.0208333,0.0371785,0.00945632,0.0896364,All
-7.25087,0.0231481,0.0398394,0.0116686,0.095611,All
-7.03778,0.025463,0.0424528,0.0140187,0.10119,All
-6.8247,0.0300926,0.0460361,0.0141176,0.109976,All
-6.61161,0.0324074,0.0497238,0.0165226,0.116212,All
-6.39852,0.037037,0.0533815,0.0186916,0.123457,All
-6.18543,0.0393519,0.056872,0.0198526,0.132418,All
-5.97234,0.0416667,0.0622024,0.0210774,0.137661,All
-5.75926,0.0416667,0.0693757,0.0235572,0.150049,All
-5.54617,0.0439815,0.0750176,0.0259435,0.157571,All
-5.33308,0.0439815,0.0799716,0.0282031,0.166221,All
-5.11999,0.0439815,0.0849528,0.0326722,0.178216,All
-4.9069,0.0509259,0.0936903,0.0354192,0.188399,All
-4.69381,0.0555556,0.1,0.0376029,0.195776,All
-4.48073,0.0625,0.106741,0.0419861,0.205385,All
-4.26764,0.0671296,0.115385,0.046729,0.218784,All
-4.05455,0.0740741,0.123267,0.0515225,0.227513,All
-3.84146,0.0833333,0.132075,0.0561404,0.240882,All
-3.62837,0.087963,0.138368,0.0586167,0.258307,All
-3.41529,0.0925926,0.149213,0.0652684,0.275321,All
-3.2022,0.101852,0.159598,0.0679161,0.283326,All
-2.98911,0.106481,0.170022,0.0748539,0.297427,All
-2.77602,0.118056,0.181021,0.0814902,0.308391,All
-2.56293,0.122685,0.192831,0.0850793,0.327781,All
-2.34985,0.12963,0.20462,0.0931317,0.349035,All
-2.13676,0.134259,0.222222,0.102684,0.36546,All
-1.92367,0.143519,0.237687,0.108496,0.380653,All
-1.71058,0.152778,0.25,0.117233,0.399463,All
-1.49749,0.162037,0.266355,0.124267,0.42188,All
-1.28441,0.168981,0.285047,0.134118,0.448327,All
-1.07132,0.185185,0.30025,0.14703,0.470598,All
-0.858229,0.194444,0.319256,0.158699,0.492187,All
-0.645141,0.206019,0.341353,0.168239,0.519102,All
-0.432053,0.217593,0.362511,0.181185,0.549499,All
-0.218965,0.247685,0.386191,0.192758,0.574621,All
-0.00587659,0.261574,0.40648,0.207754,0.600518,All
0.207212,0.280093,0.430109,0.224273,0.631852,All
0.4203,0.289352,0.456016,0.239665,0.661374,All
0.633388,0.326389,0.477998,0.257646,0.690742,All
0.846476,0.358796,0.51342,0.276798,0.719772,All
1.05956,0.37037,0.550833,0.292596,0.750723,All
1.27265,0.407407,0.580536,0.31579,0.790209,All
1.48574,0.416667,0.607971,0.330598,0.822557,All
1.69883,0.44213,0.635437,0.356815,0.852629,All
1.91192,0.465278,0.668691,0.381118,0.870473,All
2.125,0.481481,0.7,0.394862,0.887418,All
2.33809,0.49537,0.728546,0.41657,0.91529,All
2.55118,0.513889,0.751309,0.44,0.934126,All
2.76427,0.523148,0.782467,0.461357,0.953042,All
2.97736,0.548611,0.801803,0.487209,0.967516,All
3.19044,0.571759,0.822726,0.507622,0.983192,All
3.40353,0.601852,0.839906,0.5338,0.990407,All
3.61662,0.62963,0.857566,0.555554,0.995271,All
3.82971,0.659722,0.873682,0.579439,1,All
4.0428,0.69213,0.887496,0.604679,1,All
4.25589,0.729167,0.903235,0.631705,1,All
4.46897,0.747685,0.914214,0.656904,1,All
4.68206,0.770833,0.925515,0.680702,1,All
4.89515,0.798611,0.935032,0.702829,1,All
5.10824,0.821759,0.941799,0.728655,1,All
5.32133,0.842593,0.948096,0.754383,1,All
5.53441,0.851852,0.957559,0.777256,1,All
5.7475,0.868056,0.963785,0.802569,1,All
5.96059,0.886574,0.968829,0.820212,1,All
6.17368,0.898148,0.974159,0.838407,1,All
6.38677,0.916667,0.979999,0.857142,1,All
6.59985,0.923611,0.984655,0.875291,1,All
6.81294,0.925926,0.98961,0.891103,1,All
7.02603,0.93287,0.994652,0.908985,1,All
7.23912,0.94213,1,0.922444,1,All
7.45221,0.946759,1,0.934118,1,All
7.6653,0.953704,1,0.946387,1,All
7.87838,0.960648,1,0.955399,1,All
8.09147,0.967593,1,0.964789,1,All
8.30456,0.974537,1,0.972093,1,All
8.51765,0.974537,1,0.978836,1,All
8.73074,0.986111,1,0.985866,1,All
8.94382,0.990741,1,0.989214,1,All
9.15691,0.99537,1,0.994937,1,All
9.37,1,1,1,1,All
